Character,Trait,Setting,Conflict,Resolution,Moral,Fable
Squirrel,Greedy,Forest,Helping someone in need,Reward,Hard work pays off,"Once there was a greedy squirrel in a forest. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Greedy,Forest,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a greedy squirrel in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,Forest,Helping someone in need,Punishment,Hard work pays off,"Once there was a greedy squirrel in a forest. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Greedy,River,Competing for food,Reward,Kindness is rewarded,"Once there was a greedy squirrel in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,River,Competing for food,Reward,Hard work pays off,"Once there was a greedy squirrel in a river. One day, it was competing for food. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Greedy,River,Competing for food,Punishment,Kindness is rewarded,"Once there was a greedy squirrel in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,River,Competing for food,Punishment,Hard work pays off,"Once there was a greedy squirrel in a river. One day, it was competing for food. After much effort, punishment.
*Moral:* Hard work pays off."
Squirrel,Greedy,River,Helping someone in need,Reward,Kindness is rewarded,"Once there was a greedy squirrel in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,River,Helping someone in need,Reward,Hard work pays off,"Once there was a greedy squirrel in a river. One day, it was helping someone in need. After much effort, reward.
*Moral:* Hard work pays off."
Squirrel,Greedy,River,Helping someone in need,Punishment,Kindness is rewarded,"Once there was a greedy squirrel in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Kindness is rewarded."
Squirrel,Greedy,River,Helping someone in need,Punishment,Hard work pays off,"Once there was a greedy squirrel in a river. One day, it was helping someone in need. After much effort, punishment.
*Moral:* Hard work pays off."
